text,section
"This video can not be played Changing of the Guard, Gangnam style In another sign of the King's K-pop diplomacy, the members of South Korean girl group Blackpink have been presented with honorary MBEs. It comes during the state visit by South Korea President Yoon Suk Yeol, in which King Charles had praised the global reach of Korean pop culture. Blackpink were name-checked by the King for supporting environmental causes. ""I can only admire how they can prioritise these vital issues, as well as being global superstars,"" he said. The MBEs recognise how the girl group acted as ambassadors for the COP climate change summit during the UK's presidency, and have been advocates for the UN's sustainable development goals, helping to bring the environmental message to ""millions of young people"". There was a special investiture this morning in the 1844 room in Buckingham Palace, often used for the most distinguished guests. It was another reflection of the red carpet being rolled out during this South Korean state visit, with the diplomatic courtship reflecting the increasing importance of this strategic ally and economic partner. The members of Blackpink - Roseanne Park, Jennie Kim, Jisoo Kim and Lalisa Manoban - are now honorary members of the Order of the British Empire and were guests at the state banquet in Buckingham Palace on Tuesday evening. The King's speech had highlighted the global reach of South Korean popular culture and its ""remarkable ability to captivate imaginations"". While the King admitted to a personal lack of ""what might be called Gangnam Style"", the military band for the changing of the guard put that right on Wednesday morning, by playing the song in a surprise change of musical direction. Tourists gathered outside Buckingham Palace to watch changing of the guard had heard an unexpected medley of K-pop songs, rather than marching tunes. There had been a full ceremonial welcome for South Korean President Yoon Suk Yeol on Tuesday - greeted by the King, Queen and the Prince and Princess of Wales, before taking part in a carriage procession along the Mall. In the evening, the president was given the grand spectacle of a state banquet, held in the Buckingham Palace ballroom, with 170 guests including the Prime Minister Rishi Sunak and Foreign Secretary Lord Cameron as well the Royal Family and South Korean dignitaries. State visits are a mix of serious diplomacy as well as pageantry - and the focus of the South Korean visit is on boosting trade links and military partnerships. South Korea's President Yoon is meeting Mr Sunak to sign a ""Downing Street Accord"", with plans for a new trade deal, with technology and green energy likely to be areas of co-operation. There are plans for a stronger approach to enforcing sanctions against North Korea, and preventing its ""illegal weapons programme"", with joint sea patrols between the South Korean navy and the UK's Royal Navy. ""Long term, global partnerships are vital to our prosperity and security,"" Mr Sunak said. You can see more royal stories in the free BBC Royal Watch newsletter emailed each week - sign up here from within the UK. or here, from outside the UK. What is the Changing of the Guard? K-Pop group in top 'mix-up' say 'we love Rangers' King Charles deploys K-pop at state banquet 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"This video can not be played The changing of the guard outside Buckingham Palace had an unexpected change of style on Wednesday - when the military band switched to K-pop. Honouring the South Korean state visit, the band surprised tourists with a rendition of Gangnam Style by Psy and Ddu-Du, Ddu-Du by Blackpink. The K-pop medley was part of the red carpet being rolled out for the South Korean president. It follows the state banquet on Tuesday night, when King Charles name-checked K-pop stars such as Blackpink and BTS. Changing of the Guard, Gangnam Style. Video, 00:00:52Changing of the Guard, Gangnam Style Up Next. Watch King Charles speak Korean at state banquet. Video, 00:00:56Watch King Charles speak Korean at state banquet Giant waterspouts off Italy's Amalfi coast. Video, 00:00:35Giant waterspouts off Italy's Amalfi coast Watch: Gun salute marks King Charles III's 75th birthday. Video, 00:00:46Watch: Gun salute marks King Charles III's 75th birthday Video shows car mauled by a trapped bear. Video, 00:00:26Video shows car mauled by a trapped bear Officials show explosive danger of deep-fried turkeys. Video, 00:00:35Officials show explosive danger of deep-fried turkeys BBC assesses footage of tunnel and hostages released by Israel. Video, 00:02:06BBC assesses footage of tunnel and hostages released by Israel Meeting between Israeli politicians and hostage families erupts. Video, 00:00:39Meeting between Israeli politicians and hostage families erupts Listen: Lost BBC Banksy interview resurfaces. Video, 00:00:47Listen: Lost BBC Banksy interview resurfaces Watch: Top Gear's key moments over the years. Video, 00:01:42Watch: Top Gear's key moments over the years Stunning murmuration captured near nature reserve. Video, 00:00:32Stunning murmuration captured near nature reserve Biden confuses Britney and Taylor at Turkey ceremony. Video, 00:01:18Biden confuses Britney and Taylor at Turkey ceremony How lockdown inspired fight against period poverty. Video, 00:02:50How lockdown inspired fight against period poverty Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"A Russian actress has been killed in a Ukrainian strike while giving a performance to troops, according to her theatre. A dance hall in occupied Ukraine where Polina Menshikh was performing was hit by Ukrainian shelling on 19 November.  The actress was reportedly giving a show to celebrate a Russian military holiday. Ukraine said about 20 Russian soldiers were killed in the strike, but Russian authorities have not commented on this. Ms Menshikh was giving a performance in a local dance hall capable of seating around 150 people, according to local reporting.  A video purporting to show the moment of the strike was uploaded to social media. A woman, apparently Ms Menshikh, is seen on stage singing and playing guitar, before an explosion is heard and the hall's lights go out. Ms Menshikh died in hospital of her injuries.  Speaking to the BBC's Ukrainian service, a Ukrainian army spokesperson confirmed media reporting of the strike. Portal, a theatre studio based in St Petersburg associated with Ms Menshikh said an upcoming performance of a play she had previously directed would be dedicated to her memory.  The strike took place around 60km (37 miles) from the front line, in the village of Kumachove.  Kumachove is located in the Donetsk region, in the area of eastern Ukraine occupied by Russia since 2014. Other areas in the Donetsk region have been hotpots of vicious fighting in recent months, particularly the cities of Avdiika and Bakhmut. Russian pro-war bloggers criticised the organisation of the show. A performance concentrating dozens of soldiers in one place made it an obvious target for a Ukrainian strike, they wrote. Eurovision winner added to Russia wanted list 'Waves' of Russian drones attack Kyiv for second night Ukrainian men flee the draft in their thousands 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"A Ghanaian MP has apologised to Manchester United footballer Harry Maguire after mocking him last year. MP Isaac Adongo was debating the budget when he compared Vice-President Mahamudu Bawumia's economic management to Maguire's performances on the pitch. Maguire has come in for heavy criticism from some fans but fellow footballers have come to his defence. On Tuesday, Mr Adongo said he wanted to correct the record and hailed Maguire as a ""transformational footballer"". He was a ""key player"" for Manchester United, Mr Adongo said during a budget debate. But he did not let up in his criticism of Vice-President Bawumia. ""As for our Maguire, he is now at the IMF, with a cup in hand,"" he added. Mr Bawumia is the head of the government's economic management team as Ghana faces its most severe economic crisis in years. As government debt has soared, the country had to take a $3bn (Â£2.4bn) loan from the International Monetary Fund (IMF). In December 2022 inflation in Ghana reached a record 54% but has since fallen to around 35%. A year ago Mr Adongo compared Mr Bawumia to Harry Maguire, who Mr Adongo said ""became the biggest threat at the centre of the Manchester United defence"". The video of the speech was widely shared on social media. It came amid a torrent of criticism of the footballer. England manager Gareth Southgate has condemned the mockery as ""ridiculous treatment"" and said he's been ""an absolute stalwart"" for the team. Mr Maguire's mother also defended her son and said the abuse he has faced has been ""disgraceful"" and ""unacceptable"". Some Ghanaians have been reacting to Mr Adongo's apology, saying that the Manchester United player has really improved, but the same cannot be said of the managers of the Ghanaian economy.  Others feel such a comparison should not have been made. According to Mr Adongo, the Ghanaian government has had to increase taxes and tariffs on services as part of the agreement with the IMF. This caused widespread anger among voters and triggered protests over the rising cost of living and unemployment in the country. Despite this, Ghana's governing New Patriotic Party (NPP) has selected Mr Bawumia as its candidate for the 2024 elections.  He will be the first Muslim to contest the presidency under the NPP's banner since multi-party democracy was restored in 1992. Mr Bawumia has promised to lead a ""united and energised"" NPP into the election and that it is ""the only party that can transform Ghana"". 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"A woman is wanted by police after a suitcase containing Â£350,000 worth of jewellery was stolen from a central London hotel, the Met has said. A public appeal for information has been launched to find the whereabouts of Marinela Manolesu after the suitcase was stolen from a hotel in Knightsbridge on Sunday, 8 October. The 28-year-old had been working as a housekeeper at the unnamed hotel. Officers believe she has left the UK and travelled to Romania on 15 October. Authorities in Romania have been alerted to the alleged theft, the Met Police said.  Listen to the best of BBC Radio London on Sounds and follow BBC London on Facebook, X and Instagram. Send your story ideas to hellobbclondon@bbc.co.uk Metropolitan Police Service Sadiq Khan 'unworried' TfL ULEZ adverts were 'likely to mislead' public Sadiq Khanâs Â£1m boost to tackle child âfight-or-flightâ knife trauma Sunak avoids specifics when asked if scientists consulted on Eat Out to Help Out Sadiq Khan 'unworried' TfL ULEZ adverts 'likely to mislead' The Robin Ale and Cider House Stroud Green sells Â£5 pints How to watch Hannah Waddingham Home for Christmas on Apple TV+ - a festive treat 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"Denise Morgan was shot dead in New York The sisters of an Irish woman killed in an apparent murder-suicide have warned of ignoring ""red flags"" in relationships. Mother-of-one Denise Morgan, 39, who was originally from Tullyallen in County Louth, was found dead at a property in Queens, New York City, on 21 October. The New York Police Department said ""a firearm was recovered in the vicinity of [a] deceased male"", who they identified as her former partner, 33-year-old Joed Taveras. ""We are speaking as Deniseâs voice, just to try and raise awareness about domestic violence,"" Lisa Morgan told RTÃ Prime Time. ""You have to make a plan to not let them know youâre going... you have to get out."" Lisa and Shannon Morgan said they wanted to raise awareness about domestic violence Denise Morgan initially moved to New York seven years ago with her ex-husband and daughter. After the marriage ended amicably, she became involved with Mr Taveras. Denise's sisters told RTÃ he subjected her to years of coercive abuse, which Lisa witnessed during a visit to New York two years ago. The abuse had become increasingly physical in recent months, they added. The family have shared text messages received from Denise in the weeks before her death, in which she said he had strangled her. On another instance, Mr Taveras is said to have held a knife to her throat. ""She found out that he was cheating on her, thatâs when it started getting physicalâ¦ he knew that she was leaving him, he just couldnât handle that,"" Shannon said. ""She was constantly always telling us what was going on and it was worrying us more."" The sisters said they felt ""helpless"" when speaking to Denise. ""We knew she was in a bad situation...thatâs the guilt thatâs going to live with us forever is knowing what could have been,"" Shannon added. Irish woman found dead after shooting in New York Domestic abuse issues should be taught at school Watch: Is This Coercive Control? Denise was due to move into a new apartment 10 days after she was killed. It is understood she had ended her relationship with Mr Taveras, to which he responded violently. ""He shot her in the back of the head, she tried to run away from him, she screamed 'no' while he shot her,"" Lisa Morgan said. ""The detective told us everything, what the neighbours reported, there was fighting and then there was the gunshot, and 10 seconds later there was a second gunshot."" The sisters said they want to raise awareness about domestic abuse, warning people to notice ""red flags"" in their relationships. ""Donât hide anything from your family, sometimes as women we tend to ignore this behaviour - the jealousy, the controlling - and youâre embarrassed to speak out about it because you know that youâre going to go back to the abuser,"" Shannon Morgan said.  ""It's shame, it's embarrassing. ""She knew that she had to get out, but unfortunately she didnât get time to get out. ""Theyâre never going to change, walk when you see the red flags. ""The first couple of months with someone you can tell how theyâre going to behave in a relationship, which he did, he did show it, he was always jealous."" The sisters said they are still coming to terms with Denise's death The sisters said they were still in shock and are attempting to come to terms with Denise's death. ""I'd go to send her a Snapchat [social media message]... you just forget,"" Lisa added. ""It's not right, no family should ever have to go through this."" If you have been affected by any issues in this story you can visit BBC Action Line. Irish woman found dead after shooting in New York New NI domestic abuse laws now in force Should domestic abusers have guns? US top court will decide 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"A French pilot has been banned from flying after he decapitated a skydiver with the wing of a plane. Nicolas Galy, 40, was struck in the air moments after jumping from the aircraft in July 2018.  The pilot, who has not been named, was found guilty on Tuesday of involuntary manslaughter and given a suspended sentence by Montauban criminal court. The Midi-PyrÃ©nÃ©es Skydiving School Association, which employed the pilot, has been fined 20,000 euros. Half of that amount, 10,000 euros, has been suspended, French media report. According to Le Parisien, immediately after the drop, the pilot of the aircraft began its descent towards the aerodrome tarmac.  Before the skydiver jumped out of the aircraft, there was no consultation on the trajectory the plane would take, the paper said. Citing a hearing on 19 September, the lawyer for the victim's relatives, Emmanuelle Franck, deplored ""a lot of recklessness or negligence"".  The president of the court in south-west France also pointed out a lack of communication between the victim and the pilot. Since the incident, security measures have been strengthened and briefings have become obligatory, the report added. 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"Israel and Hamas have reached a deal to exchange 50 of the hostages held in Gaza for a four-day pause in fighting. The agreement should also see 150 Palestinian women and children held in Israeli jails released and an increase in humanitarian aid allowed into Gaza.  Qatar, the mediator, said a start time would be announced within 24 hours. The US president said the deal would end ""an unspeakable ordeal"" for the hostages and ""alleviate the suffering of innocent Palestinian families"". The Israeli government vowed to complete its war to eliminate Hamas and return the rest of the more than 200 hostages who Hamas gunmen kidnapped during a cross-border attack on southern Israel on 7 October in which 1,200 people were killed. Hamas - which Israel, the US and other Western powers class as a terrorist organisation - said the deal would give Palestinians time to recover after an intense Israeli air and ground assault which its government in Gaza has said has killed more than 14,000 people.  After talks continued late into the early hours of Wednesday morning, Israel's coalition government finally signed off on this deal. A statement from the office of Prime Minister Benjamin Netanyahu announced that 50 women and children would be released over four days, during which time ""a pause in the fighting will be held"". It also offered Hamas an incentive to release more, saying: ""The release of every additional 10 hostages will result in one additional day in the pause."" The BBC's Yolande Knell in Jerusalem says this is important for the hostages' families, some of whom have said they did not want to see a partial deal.  The 50 hostages expected to be released in four batches of 12 under the deal will be Israeli nationals or dual nationals, rather than foreigners.  No list of names has been published, but a senior US official told reporters that at least three American citizens - including three-year-old Abigail Idan, whose parents were killed on 7 October - would be among them. A senior Israeli official said on Tuesday afternoon that Hamas could also unilaterally release the 26 Thai nationals believed to be among the hostages.  The International Committee of the Red Cross (ICRC) has said it is ready to facilitate any releases, as its staff did when Hamas freed two Israeli-American women and two Israeli women last month.  Israeli forces operating inside Gaza have also rescued one female soldier and recovered the bodies of two other female hostages - a soldier and a civilian. The Israeli government also said it would ""continue the war in order to return home all of the hostages, complete the elimination of Hamas and ensure that there will be no new threat to the State of Israel from Gaza"". A longer Hamas statement gave more details of what Israeli military action was expected to cease for the duration of what it called a ""hudna"", or temporary truce.   It said all drone and Israeli aircraft activity was expected to stop for four days in the south of Gaza.  But in the north - which has been the main target of Israeli operations to dismantle Hamas - the same will only hold between 10:00 and 16:00 local time (08:00-14:00 GMT) each day. Israeli troops and tanks are expected to remain in their positions inside Gaza during the four-day pause, but the Hamas statement said Israeli forces would not attack or arrest anyone. For Palestinians in Gaza, 1.7 million of whom have fled their homes, a respite in the brutal fighting cannot come soon enough, our correspondent says.   The deal will allow 200 lorries carrying aid, four fuel tankers and four lorries carrying gas to enter Gaza via Egypt's Rafah crossing on each of the four days.  But it is understood that the boost in fuel - desperately needed for hospital generators, water desalination and sewage facilities - will only last for as long as the pause.  Israel cut off electricity and most water, and stopped deliveries of food, fuel and other goods to Gaza in retaliation for Hamas's attack.  It has allowed 1,399 lorryloads of humanitarian supplies to enter via Egypt over the past month, compared to a monthly average of 10,000 before the war, according to the UN. It blocked all fuel deliveries until a week ago, saying that it could be stolen by Hamas and used for military purposes.  And although the deal will allow people in Gaza safe passage from north to south, it will not permit the hundreds of thousands of displaced people from the north to return home. Hamas said that the deal would also see 150 Palestinian prisoners - all women and children - released by Israel. The Israeli government statement did not mention that, but on Wednesday morning its justice ministry published a list in Hebrew of the names of 300 prisoners eligible for release as part of the deal - based on the possibility that Hamas would agree to release more hostages Five are as young as 14 years old, imprisoned for offences ranging from throwing firebombs to arson, according to the Israeli newspaper Haaretz.  Our correspondent says the reason the list had to be published is because of a legal formality in Israel. Ahead of any prisoner release, Israeli citizens must be allowed 24 hours to make an appeal to the Israeli Supreme Court. However no serious holdups are expected. Israel is currently holding about 7,000 Palestinians accused or convicted of security offences, according to Israeli and Palestinian rights groups. Almost 3,000 Palestinians are reported to have been arrested in the occupied West Bank and East Jerusalem, where violence has also surged, since 7 October.    Hamas's statement ended by saying the deal aimed to ""serve our people and strengthen their steadfastness in the face of aggression"". It also warned: ""Our fingers remain on the trigger, and our victorious fighters will remain on the look out to defend our people and defeat the occupation."" 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"This video can not be played Huge waterspouts have been captured on camera off the Amalfi coast in southern Italy. One of the waterspouts alarmed residents in the city of Salerno as it made way towards the port at high speed, but it did not cause any damage. Another, filmed from the town of Ravello, appeared near Capo d'Orso, but it also dissipated without causing harm. Waterspouts are similar to tornadoes, but they form over a body of water. Footage credit: Nick Granata and Filippo Amato via Il Quotidiano della Costiera. Giant waterspouts off Italy's Amalfi coast. Video, 00:00:35Giant waterspouts off Italy's Amalfi coast Up Next. MPs set off coloured smoke flares in Albanian parliament. Video, 00:00:30MPs set off coloured smoke flares in Albanian parliament Watch: Entire road split in Iceland after quakes. Video, 00:00:57Watch: Entire road split in Iceland after quakes Watch: Huge waterspout caught on camera off Isle of Wight. Video, 00:00:15Watch: Huge waterspout caught on camera off Isle of Wight Trail of destruction as Storm CiarÃ¡n hits UK. Video, 00:01:05Trail of destruction as Storm CiarÃ¡n hits UK Video shows car mauled by a trapped bear. Video, 00:00:26Video shows car mauled by a trapped bear Officials show explosive danger of deep-fried turkeys. Video, 00:00:35Officials show explosive danger of deep-fried turkeys BBC assesses footage of tunnel and hostages released by Israel. Video, 00:02:06BBC assesses footage of tunnel and hostages released by Israel Meeting between Israeli politicians and hostage families erupts. Video, 00:00:39Meeting between Israeli politicians and hostage families erupts Listen: Lost BBC Banksy interview resurfaces. Video, 00:00:47Listen: Lost BBC Banksy interview resurfaces Watch: Top Gear's key moments over the years. Video, 00:01:42Watch: Top Gear's key moments over the years Stunning murmuration captured near nature reserve. Video, 00:00:32Stunning murmuration captured near nature reserve Biden confuses Britney and Taylor at Turkey ceremony. Video, 00:01:18Biden confuses Britney and Taylor at Turkey ceremony How lockdown inspired fight against period poverty. Video, 00:02:50How lockdown inspired fight against period poverty Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
"The four BTS band members who have yet to start mandatory military service have begun the process of enlisting. The K-pop stars' label asked fans to continue giving support to RM, Jimin, V and Jung Kook until they return safely from conscription. In South Korea nearly all able-bodied men are obliged to enlist, like the three older band members currently serving.  The group are due to reform in 2025. ""We would like to inform our fans that RM, Jimin, V, and Jung Kook have initiated the military enlistment process,"" label Big Hit Music said in a statement. ""We ask you for your continued love and support."" It comes after older band member Jin enlisted last year, followed by his bandmate J-Hope in April. A third member Suga started service as a social service agent, after being ""ruled unfit for the regular combat duty"". BTS went on a hiatus in June to allow members to complete military service after earning six number one singles in the US. Previously there had been years-long debate on whether BTS deserved an exemption, on the basis they generated billions of dollars for the country and boosted the image of South Korea.  Earlier this year, chairman of the seven-man band's agency said making BTS do their military service was slowing the global growth of K-pop. South Korea offers exemptions from military service to some people, including Olympic medal-winning athletes and some classical musicians, but not K-pop stars. In September it was confirmed all seven members of the group had renewed their contracts with their music label.  BTS star Suga begins military service in Korea 'Ten years of BTS has opened up my world' BTS's J-Hope begins military service K-pop star Jin from BTS begins military service 'Everyone needs to come home' - Israeli families react to hostages deal Sam Altman to return as OpenAI boss China accused of closing and destroying mosques Who is the Hamas leader in Gaza, Yahya Sinwar? BBC assesses footage of tunnel and hostages released by Israel. VideoBBC assesses footage of tunnel and hostages released by Israel Indian captain who lost the World Cup but won hearts Fighting climate change with 100ft ice towers Are we any closer to solving JFK's assassination? VideoAre we any closer to solving JFK's assassination? Who is the new boss of Binance? Canada QAnon 'queen' leaves village, but hasn't gone far Travellers are snubbing US budget airlines How OpenAI created the perfect conditions for chaos The raunchy books Britain loves How humans could travel through time The fried chicken served on Titanic Â© 2023 BBC. The BBC is not responsible for the content of external sites. Read about our approach to external linking.",news/world
